,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
0,1,222402808.85,10,68.30678321678322,3.2196993006993004,215.99689176643358,7.61041958041958
1,2,275382440.98,10,68.21636363636364,3.2196993006993004,215.64631062727273,7.623846153846154
2,3,57586735.07,10,71.43419580419581,3.2196993006993004,219.39153126363635,7.1769860139860135
3,4,299543953.38,10,62.25335664335664,3.216972027972028,128.67966946083916,5.9646923076923075
4,5,45475688.9,10,69.41013986013986,3.2196993006993004,216.56558137482517,6.295405594405594
5,6,223756130.64,10,69.7,3.2196993006993004,217.55319707762237,6.606902097902098
6,7,81598275.14,10,39.72027972027972,3.2415594405594406,193.66424294685314,8.585734265734265
7,8,129951181.13,10,62.51398601398601,3.2196993006993004,219.439026220979,6.091846153846154
8,9,77789218.99,10,67.77517482517483,3.2196993006993004,219.62668921258742,6.099881118881119
9,10,271617713.89,10,72.2411888111888,3.5759230769230768,128.67966946083916,8.362965034965034
10,11,193962786.8,10,72.48076923076923,3.2196993006993004,219.39153126363635,7.1769860139860135
11,12,144287230.15,10,70.2627972027972,3.60641958041958,128.67966946083916,13.116482517482517
12,13,286517703.8,10,53.697132867132865,3.286146853146853,128.67966946083916,7.001825174825175
13,14,288999911.34,10,57.79097902097902,3.417608391608392,186.28567803776224,8.648748251748252
14,15,89133683.92,10,51.83384615384615,3.5782937062937066,135.09260732587413,7.996251748251748
15,16,74252425.4,10,45.03006993006993,3.2415594405594406,193.66424294685314,6.477993006993007
16,17,127782138.83,10,46.3872027972028,3.286146853146853,128.67966946083916,6.549405594405594
17,18,155114734.21,10,53.37125874125874,3.4417412587412586,135.09260732587413,8.8383006993007
18,19,206634862.1,10,52.295034965034965,3.5782937062937066,135.09260732587413,7.996251748251748
19,20,301397792.46,10,55.4513986013986,3.417608391608392,209.03813062867133,7.371412587412588
20,21,108117878.92,10,68.84762237762237,3.2196993006993004,215.64631062727273,7.623846153846154
21,22,147075648.57,10,54.89713286713287,3.4417412587412586,139.0112835083916,8.06937062937063
22,23,198750617.85,10,48.8051048951049,3.4417412587412586,135.09260732587413,4.796013986013985
23,24,194016021.28,10,54.03,3.5782937062937066,135.09260732587413,8.447013986013985
24,25,101061179.17,10,52.13839160839161,3.417608391608392,209.03813062867133,7.371412587412588
25,26,143416393.79,10,43.65825174825175,3.4417412587412586,135.09260732587413,7.872069930069929
26,27,253855916.88,10,57.31111888111888,3.5782937062937066,139.0112835083916,8.001748251748252
27,28,189263680.58,10,70.2627972027972,3.60641958041958,128.67966946083916,13.116482517482517
28,29,77141554.31,10,54.89713286713287,3.4417412587412586,135.09260732587413,9.806384615384614
29,30,62716885.12,10,68.84762237762237,3.2196993006993004,215.64631062727273,7.623846153846154
30,31,199613905.5,10,68.84762237762237,3.2196993006993004,215.64631062727273,7.623846153846154
31,32,166819246.16,10,52.747552447552444,3.2415594405594406,193.66424294685314,8.585734265734265
32,33,37160221.96,10,76.72818181818181,3.5759230769230768,128.67966946083916,8.533153846153846
33,34,138249763.0,10,58.495874125874124,3.216972027972028,128.67966946083916,9.934804195804196
34,35,131520672.08,10,57.31111888111888,3.417608391608392,139.0112835083916,8.788573426573427
35,36,53412214.97,10,71.16034965034966,3.2042027972027975,214.72906927902096,7.869048951048952
36,37,74202740.32,10,71.16034965034966,3.2196993006993004,214.72906927902096,7.869048951048952
37,38,55159626.42,10,70.2627972027972,3.60641958041958,128.67966946083916,13.116482517482517
38,39,207445542.47,10,70.59734265734265,3.2196993006993004,214.72906927902096,7.869048951048952
39,40,137870309.79,10,47.67454545454545,3.4417412587412586,135.09260732587413,4.796013986013985
40,41,181341934.89000002,10,48.41034965034965,3.2415594405594406,193.66424294685314,6.9733776223776225
41,42,79565752.42999999,10,72.2411888111888,3.5759230769230768,128.67966946083916,8.362965034965034
42,43,90565435.41,10,68.87769230769231,3.2196993006993004,207.73516234755243,9.934804195804196
43,44,43293087.84,10,53.697132867132865,3.286146853146853,128.67966946083916,6.735622377622377
44,45,112395341.42,10,57.79097902097902,3.417608391608392,186.28567803776224,8.648748251748252
